Id_Sample;Region;Ni_Head;Fe_Head;Mg_Head;Si_Head;Al_Head;Cr_Head;Co_Head;Fe_Mg;Fe_Ni;Fe_Si;Fe_Al;Fe_Cr;Fe_Co;Si_Ni;Si_Mg;Si_Al;Si_Cr;Si_Co;Al_Ni;Al_Mg;Al_Cr;Al_Co;Ni_Mg;Ni_Cr;Ni_Co;Mg_Cr;Mg_Co;Co_Cr;Source
TRI;KBN;0,0114;0,1262;0,1214;0,2189;0,015;0,007;0;1,04;11,07;0,58;8,55;18,59;701,11;19,2;1,8;14,83;32,24;1216,11;1,29;0,12;2,17;82;0,09;1,68;63,33;17,88;674,44;0,03;M
NLS;KBN;0,0176;0,1165;0,1172;0,219;0,016;0,005;0;0,99;6,62;0,53;7,34;22,24;516,1;12,44;1,87;13,8;41,8;970,17;0,9;0,14;3,03;70,28;0,15;3,36;77,97;22,37;519,2;0,04;M
RHL;KBN;0,0166;0,1407;0,1352;0,2086;0,013;0,007;0;1,04;8,48;0,67;10,7;20,77;528,31;12,57;1,54;15,87;30,79;783,27;0,79;0,1;1,94;49,36;0,12;2,45;62,33;19,96;507,66;0,04;M
ATK;KBN;0,0219;0,1649;0,0928;0,2134;0,024;0,008;0,001;1,78;7,53;0,77;6,92;20,62;200,47;9,74;2,3;8,96;26,68;259,43;1,09;0,26;2,98;28,95;0,24;2,74;26,62;11,6;112,81;0,1;M
ACM;KBN;0,0184;0,1765;0,1099;0,1867;0,02;0,012;0;1,61;9,59;0,95;9;14,79;426,76;10,15;1,7;9,52;15,64;451,43;1,07;0,18;1,64;47,44;0,17;1,54;44,49;9,21;265,73;0,03;M
TIM;KBN;0,0148;0,1045;0,1011;0,2542;0,018;0,006;0;1,03;7,06;0,41;5,79;16,14;522,95;17,18;2,51;14,08;39,26;1272,1;1,22;0,18;2,79;90,37;0,15;2,29;74,06;15,61;505,94;0,03;M
ALH;KBN;0,013;0,1398;0,0602;0,2654;0,014;0,007;0;2,32;10,75;0,53;9,95;20,04;423,64;20,42;4,41;18,9;38,04;804,24;1,08;0,23;2,01;42,56;0,22;1,86;39,39;8,63;182,42;0,05;M
BKA;KBN;0,0113;0,1345;0,0642;0,2284;0,018;0,006;0;2,1;11,9;0,59;7,3;22,29;445,53;20,21;3,56;12,4;37,85;756,58;1,63;0,29;3,05;61,03;0,18;1,87;37,43;10,64;212,66;0,05;M
AMI-1;KBN;0,0161;0,2122;0,084;0,1703;0,019;0,011;0,001;2,53;13,18;1,25;11,1;18,86;335,66;10,58;2,03;8,91;15,14;269,38;1,19;0,23;1,7;30,23;0,19;1,43;25,47;7,47;132,87;0,06;M
AMI-2;KBN;0,0134;0,2545;0,0871;0,1386;0,021;0,014;0,001;2,92;18,99;1,84;12,03;17,92;181,79;10,34;1,59;6,55;9,76;99;1,58;0,24;1,49;15,11;0,15;0,94;9,57;6,13;62,21;0,1;M
AMI-3;KBN;0,0176;0,213;0,0848;0,1784;0,016;0,012;0,001;2,51;12,1;1,19;12,92;18,17;317,91;10,14;2,1;10,82;15,22;266,27;0,94;0,19;1,41;24,6;0,21;1,5;26,27;7,23;126,57;0,06;M
LMG;KBN;0,0144;0,147;0,0724;0,2305;0,02;0,007;0;2,03;10,21;0,64;7,32;20,95;301,71;16,01;3,18;11,48;32,85;473,09;1,39;0,28;2,86;41,2;0,2;2,05;29,56;10,32;148,6;0,07;M
HMG;KBN;0,0157;0,125;0,1299;0,211;0,018;0,006;0;0,96;7,96;0,59;7,1;19,84;625;13,44;1,62;11,99;33,49;1055;1,12;0,14;2,79;88;0,12;2,49;78,5;20,62;649,5;0,03;M
FS;KBN;0,0153;0,2337;0,0766;0,1624;0,019;0,012;0,001;3,05;15,27;1,44;12,18;19,06;246;10,61;2,12;8,46;13,25;170,95;1,25;0,25;1,56;20,2;0,2;1,25;16,11;6,25;80,63;0,08;M
MMG;KBN;0,013;0,1339;0,0973;0,2158;0,018;0,008;0;1,38;10,3;0,62;7,51;16,96;496,39;16,6;2,22;12,11;27,34;800,01;1,37;0,18;2,26;66,06;0,13;1,65;48,19;12,33;360,71;0,03;M
SSU;KBN;0,0168;0,1767;0,1204;0,191;0,019;0,01;0;1,47;10,52;0,93;9,34;18,37;366,91;11,37;1,59;10,09;19,86;396,6;1,13;0,16;1,97;39,29;0,14;1,75;34,88;12,52;250;0,05;M
TK;KBN;0,0092;0,085;0,0482;0,2513;0,02;0,004;0;1,76;9,24;0,34;4,35;19,74;496,63;27,32;5,21;12,86;58,36;1468,28;2,12;0,41;4,54;114,22;0,19;2,14;53,75;11,19;281,62;0,04;M
ALH 1;KBN;0,0144;0,1259;0,1089;0,2219;0,019;0,006;0;1,16;8,74;0,57;6,53;21,93;484,23;15,41;2,04;11,51;38,66;853,46;1,34;0,18;3,36;74,12;0,13;2,51;55,38;18,97;418,85;0,05;M
ALH 2;KBN;0,0152;0,1281;0,1092;0,2233;0,019;0,006;0;1,17;8,43;0,57;6,58;22,45;457,5;14,69;2,04;11,46;39,13;797,5;1,28;0,18;3,41;69,58;0,14;2,66;54,29;19,14;390;0,05;M
ALH 3;KBN;0,0146;0,1266;0,1086;0,2217;0,019;0,006;0;1,17;8,67;0,57;6,59;23,01;468,89;15,18;2,04;11,54;40,3;821,11;1,32;0,18;3,49;71,18;0,13;2,65;54,07;19,74;402,22;0,05;M
NLS 1;KBN;0,0086;0,1569;0,0787;0,2161;0,032;0,007;0;1,99;18,24;0,73;4,91;24,11;541,03;25,13;2,75;6,77;33,21;745,17;3,71;0,41;4,91;110,08;0,11;1,32;29,66;12,1;271,38;0,04;M
NLS 2;KBN;0,0091;0,158;0,079;0,2162;0,032;0,007;0;2;17,36;0,73;4,99;24,13;564,29;23,76;2,74;6,83;33,02;772,14;3,48;0,4;4,84;113,07;0,12;1,39;32,5;12,07;282,14;0,04;M
NLS 3;KBN;0,0087;0,157;0,0786;0,2162;0,032;0,006;0;2;18,05;0,73;4,95;24,17;550,88;24,85;2,75;6,82;33,28;758,6;3,64;0,4;4,88;111,18;0,11;1,34;30,53;12,1;275,79;0,04;M
TRI 1;KBN;0,0171;0,1235;0,1035;0,2278;0,026;0,007;0;1,19;7,22;0,54;4,84;17,9;411,67;13,32;2,2;8,93;33,01;759,33;1,49;0,25;3,7;85;0,17;2,48;57;15;345;0,04;M
TRI 2;KBN;0,0173;0,1252;0,0946;0,2254;0,029;0,007;0;1,32;7,24;0,56;4,26;18,14;417,33;13,03;2,38;7,67;32,67;751,33;1,7;0,31;4,26;98;0,18;2,51;57,67;13,71;315,33;0,04;M
TRI 3;KBN;0,0168;0,1222;0,1085;0,2208;0,028;0,007;0;1,13;7,27;0,55;4,43;17,97;407,33;13,14;2,04;8;32,47;736;1,64;0,25;4,06;92;0,15;2,47;56;15,96;361,67;0,04;M
AMS A;KOL;0,012;0,1525;0,1137;0,2013;0,016;0,009;0;1,34;12,71;0,76;9,82;17,2;435,71;16,78;1,77;12,96;22,7;575,14;1,29;0,14;1,75;44,37;0,11;1,35;34,29;12,82;324,86;0,04;M
AMS B;KOL;0,0124;0,1591;0,1109;0,1935;0,016;0,009;0;1,43;12,83;0,82;10,07;17,51;467,94;15,6;1,74;12,25;21,3;569,12;1,27;0,14;1,74;46,45;0,11;1,36;36,47;12,21;326,18;0,04;M
ALT (SAP);NKW;0,0134;0,1314;0,131;0,1892;0,027;0,006;0;1;9,81;0,69;4,87;20,22;597,27;14,12;1,44;7,01;29,11;860;2,01;0,21;4,15;122,73;0,1;2,06;60,91;20,15;595,45;0,03;M
ALT (1:1 SAP+LHC);NKW;0,0132;0,2616;0,0722;0,1114;0,05;0,013;0,001;3,62;19,82;2,35;5,28;19,81;327;8,44;1,54;2,25;8,44;139,25;3,75;0,69;3,75;61,88;0,18;1;16,5;5,47;90,25;0,06;M
ALT (2:1 SAP+LHC);NKW;0,0133;0,2192;0,0933;0,14;0,043;0,011;0,001;2,35;16,48;1,57;5,14;19,9;365,33;10,53;1,5;3,29;12,71;233,33;3,2;0,46;3,87;71,03;0,14;1,21;22,17;8,47;155,5;0,05;M
ALT (3:1 SAP+LHC);NKW;0,0134;0,1991;0,1025;0,1525;0,039;0,01;0,001;1,94;14,86;1,31;5,1;20,49;382,88;11,38;1,49;3,9;15,7;293,27;2,92;0,38;4,02;75,14;0,13;1,38;25,77;10,55;197,12;0,05;M
ALT (LIM LO CO);NKW;0,0142;0,2368;0,0745;0,146;0,036;0,012;0;3,18;16,68;1,62;6,61;19,12;526,22;10,28;1,96;4,07;11,79;324,44;2,52;0,48;2,89;79,65;0,19;1,15;31,56;6,02;165,56;0,04;M
ALT (1:1 SAP+LLC);NKW;0,014;0,1848;0,1034;0,1691;0,031;0,01;0;1,79;13,2;1,09;5,88;19,02;560;12,08;1,64;5,38;17,41;512,42;2,25;0,3;3,24;95,29;0,14;1,44;42,42;10,64;313,33;0,03;M
ALT (2:1 SAP+LLC);NKW;0,0136;0,1651;0,1132;0,1764;0,03;0,009;0;1,46;12,14;0,94;5,55;19,3;569,31;12,97;1,56;5,93;20,63;608,28;2,19;0,26;3,48;102,6;0,12;1,59;46,9;13,24;390,34;0,03;M
ALT (3:1 SAP+LLC);NKW;0,0135;0,1572;0,1186;0,1807;0,029;0,008;0;1,33;11,64;0,87;5,42;19,64;542,07;13,39;1,52;6,23;22,57;623,1;2,15;0,24;3,62;100,04;0,11;1,69;46,55;14,82;408,97;0,04;M
AL DS;NKW;0,0142;0,2011;0,1206;0,0712;0,017;0,009;0,001;1,67;14,16;2,82;11,62;21,93;379,43;5,01;0,59;4,11;7,77;134,34;1,22;0,14;1,89;32,66;0,12;1,55;26,79;13,15;227,55;0,06;M
AL BR;NKW;0,0135;0,1364;0,1441;0,1715;0,013;0,004;0;0,95;10,1;0,8;10,91;35,89;568,33;12,7;1,19;13,72;45,13;714,58;0,93;0,09;3,29;52,08;0,09;3,55;56,25;37,92;600,42;0,06;M
AL PB;NKW;0,0143;0,2318;0,0844;0,0617;0,044;0,011;0,001;2,75;16,21;3,76;5,26;21,31;406,67;4,31;0,73;1,4;5,67;108,25;3,08;0,52;4,05;77,37;0,17;1,31;25,09;7,76;148,07;0,05;M
AL HG;NKW;0,018;0,1959;0,0902;0,1687;0,014;0,005;0;2,17;10,88;1,16;13,8;40,81;445,23;9,37;1,87;11,88;35,15;383,41;0,79;0,16;2,96;32,27;0,2;3,75;40,91;18,79;205;0,09;M
C18;NKW;0,0154;0,1543;0,1376;0,1849;0,013;0,008;0;1,12;10,02;0,83;11,6;20,3;514,33;12,01;1,34;13,9;24,33;616,33;0,86;0,1;1,75;44,33;0,11;2,03;51,33;18,11;458,67;0,04;M
C23;NKW;0,0165;0,1779;0,1223;0,1743;0,016;0,009;0;1,45;10,78;1,02;11,19;20,45;444,75;10,56;1,43;10,96;20,03;435,75;0,96;0,13;1,83;39,75;0,13;1,9;41,25;14,06;305,75;0,05;M
ALT 3 (SAP);NKW;0,0128;0,08;0,1792;0,2019;0,016;0,004;0;0,45;6,25;0,4;5,07;19,92;571,43;15,77;1,13;12,8;50,27;1442,14;1,23;0,09;3,93;112,69;0,07;3,19;91,43;44,62;1280;0,03;M
ALT 4 (SAP);NKW;0,0128;0,08;0,1792;0,2018;0,016;0,004;0;0,45;6,25;0,4;5,07;19,92;571,43;15,77;1,13;12,79;50,25;1441,43;1,23;0,09;3,93;112,69;0,07;3,19;91,43;44,62;1280;0,03;M
TPN;SKW;0,0126;0,1141;0,1143;0,2016;0,01;0,006;0;1;9,06;0,57;11,91;18,36;426,98;16;1,76;21,04;32,44;754,41;0,76;0,08;1,54;35,86;0,11;2,03;47,15;18,39;427,72;0,04;M
MDS;SKW;0,0168;0,1184;0,1487;0,1975;0,026;0,006;0;0,8;7,05;0,6;4,61;18,84;623,16;11,76;1,33;7,69;31,43;1039,47;1,53;0,17;4,09;135,15;0,11;2,67;88,42;23,67;782,63;0,03;M
TRX A;SKW;0,014;0,1544;0,1076;0,1955;0,016;0,007;0;1,43;11,03;0,79;9,43;20,75;482,5;13,96;1,82;11,94;26,28;610,94;1,17;0,15;2,2;51,18;0,13;1,88;43,75;14,46;336,25;0,04;M
TRX B;SKW;0,0144;0,1458;0,1106;0,2039;0,014;0,007;0;1,32;10,13;0,72;10,19;21,7;502,76;14,16;1,84;14,25;30,35;703,1;0,99;0,13;2,13;49,34;0,13;2,14;49,66;16,46;381,38;0,04;M
POR;KBN;0,0184;0,1677;0,13098;0,167253333;0,005135294;0,004584211;0,0005;1,280348145;9,114130435;1,002670599;32,65635739;36,58208955;335,4;9,089855072;1,276937955;32,56937763;36,48465365;334,5066667;0,279092072;0,039206704;1,120213413;10,27058824;0,140479463;4,013777268;36,8;261,96;261,96;0,109070034;G
POR;KBN;0,0186;0,1864;0,12408;0,161326667;0,005452941;0,005405263;0,0005;1,502256609;10,02150538;1,155419645;34,18338727;34,4849075;372,8;8,673476703;1,300182678;29,5852571;29,84621876;322,6533333;0,29316888;0,043946979;1,008820666;10,90588235;0,149903288;3,441090555;37,2;248,16;248,16;0,092502434;G
POR;KBN;0,019;0,1155;0,15246;0,185966667;0,002276471;0,003078947;0,0003;0,757575758;6,078947368;0,621079046;50,73643411;37,51282051;385;9,787719298;1,219773493;81,69078381;60,3994302;619,8888889;0,119814241;0,014931592;0,739366516;7,588235294;0,124622852;6,170940171;63,33333333;508,2;508,2;0,097435897;G
POR;KBN;0,0161;0,1652;0,11364;0,180273333;0,007994118;0,005336842;0,0005;1,453713481;10,26086957;0,916386228;20,665195;30,95463511;330,4;11,19710145;1,58635457;22,5507481;33,77902696;360,5466667;0,496529046;0,070345984;1,497911591;15,98823529;0,141675466;3,016765286;32,2;227,28;227,28;0,093688363;G
POR;KBN;0,0174;0,1289;0,1344;0,1925;0,005876471;0,004036842;0,0004;0,959077381;7,408045977;0,66961039;21,93493493;31,93089961;322,25;11,06321839;1,432291667;32,75775776;47,68578879;481,25;0,337728195;0,043723739;1,455709794;14,69117647;0,129464286;4,31029987;43,5;336;336;0,099087353;G
POR;KBN;0,0171;0,1348;0,14124;0,181486667;0,004976471;0,004310526;0,0004;0,954403852;7,883040936;0,742754289;27,08747045;31,27228327;337;10,61325536;1,284952327;36,46895193;42,1031339;453,7166667;0,291021672;0,035234145;1,154492566;12,44117647;0,121070518;3,967032967;42,75;353,1;353,1;0,092796093;G
POR;KBN;0,014;0,1062;0,15834;0,1904;0,0027;0,003557895;0,0003;0,670708602;7,585714286;0,557773109;39,33333333;29,84911243;354;13,6;1,202475685;70,51851852;53,5147929;634,6666667;0,192857143;0,017051914;0,75887574;9;0,08841733;3,934911243;46,66666667;527,8;527,8;0,084319527;G
POR;KBN;0,0185;0,2296;0,0957;0,149193333;0,007676471;0,005405263;0,0006;2,399164054;12,41081081;1,538942759;29,90957854;42,47711782;382,6666667;8,064504505;1,558969;19,43514687;27,60149302;248,6555556;0,414944356;0,080213904;1,420184432;12,79411765;0,193312435;3,422590068;30,83333333;159,5;159,5;0,111002921;G
POR;KBN;0,0187;0,1399;0,14814;0,175233333;0,002964706;0,002189474;0,0004;0,944376941;7,481283422;0,798364086;47,18849206;63,89663462;349,75;9,370766488;1,182890059;59,10648148;80,03445513;438,0833333;0,158540422;0,020012865;1,354072398;7,411764706;0,126231943;8,540865385;46,75;370,35;370,35;0,182692308;G
POR;KBN;0,018;0,1974;0,11334;0,15862;0,007517647;0,006363158;0,0006;1,741662255;10,96666667;1,244483672;26,25821596;31,02233251;329;8,812222222;1,399505911;21,09968701;24,92787428;264,3666667;0,417647059;0,066328278;1,181433367;12,52941176;0,158814187;2,828784119;30;188,9;188,9;0,094292804;G
POR;KBN;0,0194;0,132;0,15912;0,17584;0,0027;0,002942105;0,0004;0,829562594;6,804123711;0,750682439;48,88888889;44,86583184;330;9,063917526;1,105077929;65,12592593;59,7667263;439,6;0,139175258;0,016968326;0,917710197;6,75;0,121920563;6,59391771;48,5;397,8;397,8;0,135957066;G
POR;KBN;0,017;0,1521;0,14526;0,172853333;0,005982353;0,004789474;0,0004;1,04708798;8,947058824;0,879936748;25,42477876;31,75714286;380,25;10,16784314;1,189958236;28,89387086;36,09025641;432,1333333;0,351903114;0,04118376;1,249062702;14,95588235;0,11703153;3,549450549;42,5;363,15;363,15;0,083516484;G
POR;KBN;0,0159;0,1069;0,17202;0,184473333;0,002805882;0,003626316;0,0003;0,621439368;6,72327044;0,57948755;38,09853249;29,47895501;356,3333333;11,60209644;1,072394683;65,74521314;50,87073053;614,9111111;0,176470588;0,016311373;0,773755656;9,352941176;0,092431113;4,384615385;53;573,4;573,4;0,082728592;G
POR;KBN;0,0171;0,1373;0,15096;0,174813333;0,003811765;0,003626316;0,0004;0,909512454;8,029239766;0,785409198;36,02006173;37,86211901;343,25;10,22300195;1,158010952;45,86152263;48,20686986;437,0333333;0,222910217;0,025250164;1,051139759;9,529411765;0,11327504;4,715529753;42,75;377,4;377,4;0,11030479;G
POR;KBN;0,0156;0,1233;0,15852;0,181206667;0,002488235;0,003352632;0,0003;0,777819833;7,903846154;0,680438542;49,55319149;36,77708006;411;11,61581197;1,143115485;72,82537431;54,04908425;604,0222222;0,159502262;0,015696665;0,742173793;8,294117647;0,098410295;4,653061224;52;528,4;528,4;0,089481947;G
POR;KBN;0,0158;0,1224;0,15864;0,179433333;0,003176471;0,002805263;0,0003;0,771558245;7,746835443;0,682147501;38,53333333;43,63227017;408;11,35654008;1,131072449;56,4882716;63,96310194;598,1111111;0,201042442;0,020023138;1,13232535;10,58823529;0,099596571;5,632270169;52,66666667;528,8;528,8;0,106941839;G
POR;KBN;0,0165;0,1307;0,15396;0,177286667;0,0036;0,003010526;0,0004;0,848921798;7,921212121;0,737224082;36,30555556;43,41433566;326,75;10,74464646;1,151511215;49,2462963;58,88892774;443,2166667;0,218181818;0,023382697;1,195804196;9;0,107170694;5,480769231;41,25;384,9;384,9;0,132867133;G
POR;KBN;0,017;0,1186;0,16188;0,17836;0,003123529;0,003694737;0,0003;0,732641463;6,976470588;0,664947298;37,96986817;32,0997151;395,3333333;10,49176471;1,101803805;57,10207156;48,27407407;594,5333333;0,183737024;0,019295339;0,845399698;10,41176471;0,105016061;4,601139601;56,66666667;539,6;539,6;0,081196581;G
POR;KBN;0,0157;0,137;0,1458;0,17528;0,005982353;0,004515789;0,0004;0,939643347;8,72611465;0,781606572;22,9006883;30,33799534;342,5;11,16433121;1,202194787;29,29950836;38,81491841;438,2;0,381041589;0,041031227;1,324763472;14,95588235;0,107681756;3,476689977;39,25;364,5;364,5;0,088578089;G
POR;KBN;0,0165;0,1309;0,1545;0,17654;0,003705882;0,003626316;0,0004;0,847249191;7,933333333;0,74147502;35,32222222;36,09724238;327,25;10,69939394;1,142653722;47,63777778;48,68301887;441,35;0,22459893;0,023986294;1,021941433;9,264705882;0,106796117;4,550072569;41,25;386,25;386,25;0,11030479;G
POR;KBN;0,0152;0,1216;0,15294;0,181486667;0,002647059;0,003763158;0,0004;0,795083039;8;0,670021673;45,93777778;32,31328671;304;11,93991228;1,186652718;68,56162963;48,22722611;453,7166667;0,174148607;0,017307825;0,703414233;6,617647059;0,09938538;4,039160839;38;382,35;382,35;0,106293706;G
POR;KBN;0,0156;0,1351;0,153;0,172993333;0,004182353;0,0039;0,0003;0,883006536;8,66025641;0,78095495;32,302391;34,64102564;450,3333333;11,08931624;1,130675381;41,36268167;44,35726496;576,6444444;0,268099548;0,02733564;1,07239819;13,94117647;0,101960784;4;52;510;510;0,076923077;G
POR;KBN;0,0135;0,1257;0,15552;0,180273333;0,003547059;0,004173684;0,0004;0,808256173;9,311111111;0,697274509;35,43781095;30,11727617;314,25;13,35358025;1,159164952;50,82332781;43,19285414;450,6833333;0,262745098;0,022807734;0,84986277;8,867647059;0,086805556;3,234552333;33,75;388,8;388,8;0,095838588;G
POR;KBN;0,0147;0,1405;0,14538;0,177566667;0,005452941;0,004721053;0,0004;0,966432797;9,557823129;0,791252112;25,76591154;29,76031215;351,25;12,07936508;1,221396799;32,56346638;37,61166852;443,9166667;0,370948379;0,037508194;1,155026559;13,63235294;0,101114321;3,113712375;36,75;363,45;363,45;0,084726867;G
POR;KBN;0,0167;0,227;0,12162;0,131693333;0,0081;0,009305263;0,0003;1,866469331;13,59281437;1,723701529;28,02469136;24,39479638;756,6666667;7,885828343;1,08282629;16,25843621;14,1525641;438,9777778;0,48502994;0,066600888;0,870475113;27;0,137312942;1,794683258;55,66666667;405,4;405,4;0,032239819;G
POR;KBN;0,017;0,1895;0,13188;0,149426667;0,006247059;0,006636842;0,0004;1,436912345;11,14705882;1,268180601;30,33427495;28,55273592;473,75;8,789803922;1,133050248;23,91952291;22,51472376;373,5666667;0,367474048;0,047369266;0,941269767;15,61764706;0,128905065;2,561459159;42,5;329,7;329,7;0,060269627;G
POR;KBN;0,0158;0,1765;0,135;0,159413333;0,006141176;0,007389474;0,0004;1,307407407;11,17088608;1,107184677;28,74042146;23,88532764;441,25;10,08945148;1,180839506;25,95810983;21,57302944;398,5333333;0,388682055;0,045490196;0,83107089;15,35294118;0,117037037;2,138176638;39,5;337,5;337,5;0,054131054;G
POR;KBN;0,0153;0,1328;0,1584;0,172573333;0,003917647;0,004652632;0,0004;0,838383838;8,679738562;0,76952793;33,8978979;28,54298643;332;11,27930283;1,089478114;44,05025025;37,09155354;431,4333333;0,256055363;0,02473262;0,842028214;9,794117647;0,096590909;3,288461538;38,25;396;396;0,085972851;G
POR;KBN;0,0167;0,1821;0,1371;0,15134;0,006088235;0,006978947;0,0007;1,328227571;10,90419162;1,203250958;29,91014493;26,09276018;260,1428571;9,062275449;1,103865791;24,85777778;21,6852187;216,2;0,364564988;0,04440726;0,872371573;8,697478992;0,121808899;2,392911011;23,85714286;195,8571429;195,8571429;0,100301659;G
POR;KBN;0,0164;0,1799;0,1365;0,154466667;0,005929412;0,006431579;0,0006;1,317948718;10,9695122;1,164652568;30,34027778;27,97135843;299,8333333;9,418699187;1,131623932;26,05092593;24,01691217;257,4444444;0,361549498;0,043438914;0,921921633;9,882352941;0,12014652;2,549918167;27,33333333;227,5;227,5;0,093289689;G
POR;KBN;0,0192;0,1366;0,13014;0,183026667;0,011752941;0,006773684;0,0005;1,04963885;7,114583333;0,746339331;11,62262262;20,16627817;273,2;9,532638889;1,40638287;15,57283951;27,02025382;366,0533333;0,612132353;0,090309983;1,735088441;23,50588235;0,147533426;2,834498834;38,4;260,28;260,28;0,073815074;G
POR;KBN;0,0164;0,2011;0,11904;0,14812;0,010429412;0,008689474;0,0004;1,689348118;12,26219512;1,35768296;19,2820079;23,14294367;502,75;9,031707317;1,244287634;14,20214326;17,04591157;370,3;0,635939742;0,087612666;1,200235152;26,07352941;0,137768817;1,887341005;41;297,6;297,6;0,046032707;G
POR;KBN;0,019;0,176;0,12426;0,166506667;0,012176471;0,006773684;0,0006;1,416384999;9,263157895;1,057014734;14,45410628;25,98290598;293,3333333;8,763508772;1,339986051;13,67446055;24,58140378;277,5111111;0,640866873;0,097991877;1,797614151;20,29411765;0,152905199;2,804972805;31,66666667;207,1;207,1;0,088578089;G
POR;KBN;0,0169;0,2239;0,11796;0,138366667;0,006511765;0,007936842;0,0006;1,898101051;13,24852071;1,618164298;34,38392051;28,2102122;373,1666667;8,187376726;1,172996496;21,24872026;17,43346596;230,6111111;0,385311521;0,05520316;0,820447808;10,85294118;0,143268905;2,129310345;28,16666667;196,6;196,6;0,075596817;G
AHB;KBN;0,024;0,1672;0,06804;0,21168;0,021758824;0,006568421;0,0004;2,457378013;6,966666667;0,789871504;7,684238984;25,45512821;418;8,82;3,111111111;9,728467153;32,22692308;529,2;0,906617647;0,319794585;3,312641403;54,39705882;0,352733686;3,653846154;60;170,1;170,1;0,060897436;G
AHB;KBN;0,0243;0,1597;0,06378;0,215833333;0,018158824;0,006157895;0,0004;2,503919724;6,572016461;0,73992278;8,794622611;25,93418803;399,25;8,882030178;3,384028431;11,88586546;35,04985755;539,5833333;0,747276688;0,284710309;2,948868778;45,39705882;0,380997178;3,946153846;60,75;159,45;159,45;0,064957265;G
TJA;KBN;0,017;0,1488;0,10164;0,19978;0,017417647;0,006773684;0,0005;1,463990555;8,752941176;0,744819301;8,543059777;21,96736597;297,6;11,75176471;1,965564738;11,46997636;29,49355089;399,56;1,024567474;0,171366067;2,571369807;34,83529412;0,167256985;2,50971251;34;203,28;203,28;0,073815074;G
TJA;KBN;0,0156;0,1314;0,1143;0,200106667;0,020064706;0,006157895;0,0004;1,149606299;8,423076923;0,656649787;6,548812665;21,33846154;328,5;12,82735043;1,750714494;9,973067527;32,49595442;500,2666667;1,286199095;0,175544233;3,258371041;50,16176471;0,13648294;2,533333333;39;285,75;285,75;0,064957265;G
TJA;KBN;0,0172;0,1203;0,10812;0,225586667;0,019005882;0,006705263;0,0003;1,112652608;6,994186047;0,533276198;6,329619313;17,9411303;401;13,11550388;2,086447157;11,86930775;33,64322344;751,9555556;1,10499316;0,175785075;2,83447225;63,35294118;0,159082501;2,565149137;57,33333333;360,4;360,4;0,044740973;G
TRI;KBN;0,0182;0,1448;0,10428;0,202486667;0,016411765;0,006842105;0,0006;1,388569237;7,956043956;0,715108814;8,822939068;21,16307692;241,3333333;11,12564103;1,941759366;12,33789725;29,59420513;337,4777778;0,901745314;0,15738171;2,398642534;27,35294118;0,174530111;2,66;30,33333333;173,8;173,8;0,087692308;G
TRI;KBN;0,018;0,1444;0,0978;0,198333333;0,017047059;0,006910526;0,0005;1,476482618;8,022222222;0,728067227;8,470669427;20,8956588;288,8;11,01851852;2,027948194;11,63446055;28,70017771;396,6666667;0,947058824;0,174305305;2,466824963;34,09411765;0,18404908;2,604722011;36;195,6;195,6;0,072353389;G
TRI;KBN;0,018;0,1349;0,1056;0,20356;0,024247059;0,0078;0,0003;1,277462121;7,494444444;0,662703871;5,563561378;17,29487179;449,6666667;11,30888889;1,927651515;8,395245027;26,0974359;678,5333333;1,347058824;0,229612299;3,108597285;80,82352941;0,170454545;2,307692308;60;352;352;0,038461538;G
TRI;KBN;0,0159;0,1402;0,10248;0,20258;0,021282353;0,008142105;0,0003;1,368071819;8,817610063;0,692072268;6,587617468;17,21913381;467,3333333;12,7408805;1,976775956;9,518684356;24,88054299;675,2666667;1,338512764;0,207673233;2,613863645;70,94117647;0,155152225;1,952811894;53;341,6;341,6;0,036845507;G
TRI;KBN;0,0167;0,138;0,09594;0,20524;0,019005882;0,006363158;0,0004;1,438398999;8,263473054;0,672383551;7,260909935;21,68734491;345;12,28982036;2,1392537;10,79876199;32,25442514;513,1;1,138076788;0,198101755;2,986863232;47,51470588;0,174067125;2,624483044;41,75;239,85;239,85;0,062861869;G
TRI;KBN;0,0177;0,141;0,11604;0,198426667;0,0171;0,006842105;0,0005;1,215098242;7,966101695;0,710589974;8,245614035;20,60769231;282;11,21054614;1,709985063;11,60389864;29,00082051;396,8533333;0,966101695;0,147362978;2,499230769;34,2;0,152533609;2,586923077;35,4;232,08;232,08;0,073076923;G
TRI;KBN;0,0172;0,1515;0,10458;0,19138;0,022870588;0,008621053;0,0004;1,44865175;8,808139535;0,791618769;6,624228395;17,57326007;378,75;11,12674419;1,829986613;8,367952675;22,1991453;478,45;1,329685363;0,218689886;2,652876535;57,17647059;0,164467393;1,995115995;43;261,45;261,45;0,046398046;G
TRI;KBN;0,017;0,1612;0,11508;0,177846667;0,013129412;0,008415789;0,0006;1,400764685;9,482352941;0,90639877;12,27777778;19,15447154;268,6666667;10,46156863;1,54541768;13,54566906;21,13249948;296,4111111;0,772318339;0,114089431;1,560092705;21,88235294;0,147723323;2,020012508;28,33333333;191,8;191,8;0,071294559;G
