Id_Sample;Region;Ni_Head;Fe_Head;Mg_Head;Si_Head;Al_Head;Cr_Head;Co_Head;Fe_Mg;Fe_Ni;Fe_Si;Fe_Al;Fe_Cr;Fe_Co;Si_Ni;Si_Mg;Si_Al;Si_Cr;Si_Co;Al_Ni;Al_Mg;Al_Cr;Al_Co;Ni_Mg;Ni_Cr;Ni_Co;Mg_Cr;Mg_Co;Co_Cr;Source
TMS;KBN;0,0184;0,1364;0,11976;0,206033333;0,010535294;0,0065;0,0003;1,138944556;7,413043478;0,662028798;12,94695701;20,98461538;454,6666667;11,19746377;1,720385215;19,55648613;31,6974359;686,7777778;0,572570332;0,087970058;1,62081448;35,11764706;0,153640615;2,830769231;61,33333333;399,2;399,2;0,046153846;G
TMS;KBN;0,0189;0,1371;0,12786;0,194926667;0,013658824;0,006842105;0,0003;1,072266542;7,253968254;0,703341428;10,0374677;20,03769231;457;10,31358025;1,52453204;14,27111685;28,48928205;649,7555556;0,722689076;0,1068264;1,996289593;45,52941176;0,147817926;2,762307692;63;426,2;426,2;0,043846154;G
TMS;KBN;0,0196;0,1676;0,11568;0,177706667;0,015935294;0,0078;0,0006;1,448824343;8,551020408;0,943127251;10,51753415;21,48717949;279,3333333;9,066666667;1,536191793;11,15176572;22,78290598;296,1777778;0,81302521;0,137753234;2,042986425;26,55882353;0,169432918;2,512820513;32,66666667;192,8;192,8;0,076923077;G
TMS;KBN;0,0196;0,1421;0,12096;0,19754;0,012388235;0,006978947;0,0004;1,174768519;7,25;0,71934798;11,4705603;20,3612368;355,25;10,07857143;1,633101852;15,94577398;28,30512821;493,85;0,632052821;0,102415966;1,775086505;30,97058824;0,162037037;2,808446456;49;302,4;302,4;0,057315234;G
TMS;KBN;0,0196;0,2114;0,09696;0,154793333;0,016411765;0,009031579;0,0008;2,180280528;10,78571429;1,36569189;12,88100358;23,40675991;264,25;7,897619048;1,596465897;9,431851852;17,13912199;193,4916667;0,837334934;0,16926325;1,817153435;20,51470588;0,202145215;2,17016317;24,5;121,2;121,2;0,088578089;G
TMS;KBN;0,0197;0,1656;0,11382;0,183306667;0,011117647;0,007731579;0,0004;1,454928835;8,406091371;0,903404132;14,8952381;21,41865214;414;9,304906937;1,610496105;16,48790123;23,70882687;458,2666667;0,564347566;0,097677447;1,437952989;27,79411765;0,173080302;2,547991831;49,25;284,55;284,55;0,051735875;G
TMS;KBN;0,0193;0,2129;0,09354;0,155726667;0,016888235;0,010126316;0,0008;2,276031644;11,03108808;1,367139004;12,60640892;21,02442827;266,125;8,068739206;1,664813627;9,221014745;15,37841303;194,6583333;0,875038098;0,180545599;1,667757124;21,11029412;0,206328843;1,905925156;24,125;116,925;116,925;0,079002079;G
TMS;KBN;0,0194;0,2131;0,0933;0,15526;0,015776471;0,010194737;0,0008;2,284030011;10,98453608;1,372536391;13,50745712;20,90294269;266,375;8,003092784;1,664094319;9,841237882;15,22942695;194,075;0,813220133;0,169094004;1,547511312;19,72058824;0,207931404;1,902942695;24,25;116,625;116,625;0,078471864;G
TMS;KBN;0,0192;0,1792;0,10752;0,16814;0,017364706;0,008621053;0,0006;1,666666667;9,333333333;1,065778518;10,3197832;20,78632479;298,6666667;8,757291667;1,563802083;9,682859079;19,5034188;280,2333333;0,904411765;0,161502101;2,014221073;28,94117647;0,178571429;2,227106227;32;179,2;179,2;0,06959707;G
TMS;KBN;0,0187;0,1577;0,1173;0,182233333;0,013817647;0,0078;0,0005;1,344416027;8,43315508;0,865374063;11,41294168;20,21794872;315,4;9,745098039;1,553566354;13,18844899;23,36324786;364,4666667;0,738911607;0,117797503;1,771493213;27,63529412;0,15942029;2,397435897;37,4;234,6;234,6;0,064102564;G
TMS;KBN;0,0183;0,1572;0,114;0,18536;0,015088235;0,008689474;0,0004;1,378947368;8,590163934;0,848079413;10,41871345;18,09085403;393;10,12896175;1,625964912;12,28506823;21,33155663;463,4;0,824493732;0,132352941;1,736380803;37,72058824;0,160526316;2,105996366;45,75;285;285;0,046032707;G
TMS;KBN;0,0183;0,1781;0,09918;0,182326667;0,015247059;0,008142105;0,0006;1,795724945;9,732240437;0,976818165;11,68094136;21,87394958;296,8333333;9,963205829;1,838341063;11,95815329;22,39306184;303,8777778;0,833172613;0,153731184;1,872618731;25,41176471;0,184513007;2,247575953;30,5;165,3;165,3;0,073691015;G
TMS;KBN;0,0188;0,1502;0,12756;0,1834;0,013552941;0,0078;0,0003;1,177485105;7,989361702;0,818974918;11,08246528;19,25641026;500,6666667;9,755319149;1,437754782;13,53211806;23,51282051;611,3333333;0,720901126;0,106247579;1,737556561;45,17647059;0,147381624;2,41025641;62,66666667;425,2;425,2;0,038461538;G
TMS;KBN;0,0183;0,1855;0,10596;0,164126667;0,018211765;0,009168421;0,0005;1,750660627;10,13661202;1,130224623;10,18572351;20,23249139;371;8,96867031;1,548949289;9,01212317;17,90130119;328,2533333;0,995178399;0,171873959;1,986357804;36,42352941;0,172706682;1,99598163;36,6;211,92;211,92;0,054535017;G
TMS;KBN;0,0182;0,1551;0,1218;0,183306667;0,014082353;0,007936842;0,0005;1,273399015;8,521978022;0,846123072;11,01378446;19,54177719;310,2;10,07179487;1,504980843;13,01676413;23,09566755;366,6133333;0,773755656;0,115618661;1,774301763;28,16470588;0,149425287;2,293103448;36,4;243,6;243,6;0,062997347;G
TMS;KBN;0,0188;0,175;0,11532;0,1715;0,016570588;0,008757895;0,0005;1,517516476;9,308510638;1,020408163;10,56088037;19,98197115;350;9,122340426;1,487166146;10,34966276;19,58233173;343;0,881414268;0,143692232;1,892074378;33,14117647;0,163024627;2,146634615;37,6;230,64;230,64;0,057091346;G
TMS;KBN;0,0186;0,1523;0,11262;0,194413333;0,013923529;0,007663158;0,0004;1,352335287;8,188172043;0,783382484;10,93831855;19,87431319;380,75;10,45232975;1,726277156;13,9629348;25,36987179;486,0333333;0,74857685;0,123632831;1,816944085;34,80882353;0,165157166;2,427197802;46,5;281,55;281,55;0,052197802;G
TMS;KBN;0,0196;0,1851;0,11508;0,160673333;0,017523529;0,009510526;0,0005;1,608446298;9,443877551;1,152026887;10,56294058;19,46264527;370,2;8,197619048;1,396188159;9,169005259;16,89426305;321,3466667;0,894057623;0,152272588;1,842540447;35,04705882;0,170316302;2,060874377;39,2;230,16;230,16;0,052573326;G
TMS;KBN;0,019;0,2272;0,08772;0,142986667;0,021123529;0,011563158;0,0008;2,59005928;11,95789474;1,588959344;10,75577833;19,64861174;284;7,525614035;1,63003496;6,769070825;12,36571082;178,7333333;1,111764706;0,240806309;1,826795898;26,40441176;0,216598267;1,64314975;23,75;109,65;109,65;0,069185253;G
TMS;KBN;0,0193;0,161;0,11586;0,17752;0,014082353;0,008757895;0,0004;1,389608148;8,341968912;0,906940063;11,43274854;18,38341346;402,5;9,197927461;1,532194027;12,60584795;20,26971154;443,8;0,729655593;0,121546288;1,607960973;35,20588235;0,166580356;2,203725962;48,25;289,65;289,65;0,045673077;G
TMS;KBN;0,0193;0,1872;0,10332;0,17192;0,016782353;0,009647368;0,0007;1,81184669;9,699481865;1,088878548;11,15457413;19,40425532;267,4285714;8,907772021;1,66395664;10,24409394;17,82040371;245,6;0,869551966;0,162430826;1,739578319;23,97478992;0,186798297;2,000545554;27,57142857;147,6;147,6;0,072558647;G
TMS;KBN;0,0202;0,1949;0,10392;0,163193333;0,020541176;0,010536842;0,0006;1,875481139;9,648514851;1,194288982;9,488258877;18,497003;324,8333333;8,078877888;1,570374647;7,944692631;15,48787879;271,9888889;1,016889924;0,197663361;1,949462302;34,23529412;0,194380293;1,917082917;33,66666667;173,2;173,2;0,056943057;G
TMS;KBN;0,0193;0,2015;0,09978;0,1596;0,021388235;0,011084211;0,0006;2,019442774;10,44041451;1,262531328;9,421067107;18,17901235;335,8333333;8,269430052;1,599518942;7,462046205;14,3988604;266;1,10819872;0,214353932;1,929612871;35,64705882;0,193425536;1,741215575;32,16666667;166,3;166,3;0,054131054;G
TMS;KBN;0,0189;0,2084;0,09186;0,164033333;0,021494118;0,011152632;0,0007;2,268669715;11,02645503;1,270473481;9,695675972;18,68617272;297,7142857;8,679012346;1,785688366;7,631545338;14,70803838;234,3333333;1,137254902;0,233987782;1,927268689;30,70588235;0,205747877;1,694667296;27;131,2285714;131,2285714;0,062765455;G
TMS;KBN;0,02;0,2011;0,09954;0,16282;0,020223529;0,010673684;0,0006;2,020293349;10,055;1,235106252;9,943862711;18,84072978;335,1666667;8,141;1,635724332;8,051018034;15,25433925;271,3666667;1,011176471;0,203169876;1,894709363;33,70588235;0,200924252;1,873767258;33,33333333;165,9;165,9;0,056213018;G
TMS;KBN;0,0207;0,2002;0,0936;0,163006667;0,018952941;0,009921053;0,0007;2,138888889;9,671497585;1,228170627;10,56300435;20,17931034;286;7,874718196;1,741524217;8,600600041;16,43038019;232,8666667;0,915601023;0,202488688;1,910376034;27,07563025;0,221153846;2,086472149;29,57142857;133,7142857;133,7142857;0,070557029;G
TMS;KBN;0,0201;0,186;0,10566;0,165946667;0,017523529;0,009510526;0,0007;1,76036343;9,253731343;1,120842038;10,6143001;19,55727726;265,7142857;8,256053068;1,570572276;9,469933982;17,4487364;237,0666667;0,871817384;0,165848281;1,842540447;25,03361345;0,190232822;2,113447703;28,71428571;150,9428571;150,9428571;0,073602656;G
TMS;KBN;0,0197;0,1519;0,11502;0,18928;0,011858824;0,007526316;0,0005;1,320639889;7,710659898;0,802514793;12,80902778;20,18251748;303,8;9,608121827;1,645626848;15,96111111;25,14909091;378,56;0,601970738;0,103102274;1,575647882;23,71764706;0,171274561;2,617482517;39,4;230,04;230,04;0,066433566;G
TMS;KBN;0,0204;0,2146;0,09228;0,155866667;0,016252941;0,009921053;0,0007;2,325530993;10,51960784;1,376817793;13,20376402;21,63076923;306,5714286;7,640522876;1,689062274;9,590059114;15,7106985;222,6666667;0,796712803;0,176126367;1,638227493;23,21848739;0,22106632;2,056233422;29,14285714;131,8285714;131,8285714;0,070557029;G
TMS;KBN;0,0205;0,241;0,07938;0,14924;0,018105882;0,011221053;0,0008;3,036029227;11,75609756;1,614848566;13,31059129;21,47748593;301,25;7,28;1,880070547;8,242625081;13,3;186,55;0,883213773;0,228091236;1,613563624;22,63235294;0,258251449;1,826923077;25,625;99,225;99,225;0,071294559;G
TMS;KBN;0,0204;0,2261;0,08844;0,14028;0,023770588;0,011631579;0,0008;2,556535504;11,08333333;1,611776447;9,511754516;19,43846154;282,625;6,876470588;1,586160109;5,901410542;12,06027149;175,35;1,165224913;0,268776439;2,043625233;29,71323529;0,230664858;1,753846154;25,5;110,55;110,55;0,068778281;G
TMS;KBN;0,02;0,2572;0,0744;0,124786667;0,028535294;0,013547368;0,001;3,456989247;12,86;2,061117641;9,013399299;18,98523699;257,2;6,239333333;1,677240143;4,373063973;9,211137011;124,7866667;1,426764706;0,383538899;2,106334842;28,53529412;0,268817204;1,476301476;20;74,4;74,4;0,073815074;G
TMS;KBN;0,0197;0,2701;0,06894;0,124086667;0,024405882;0,013889474;0,001;3,917899623;13,7106599;2,176704454;11,0670041;19,44638121;270,1;6,298815567;1,799922638;5,084293404;8,933863837;124,0866667;1,238877277;0,35401628;1,757149544;24,40588235;0,28575573;1,41834028;19,7;68,94;68,94;0,071996969;G
TMS;KBN;0,0201;0,213;0,09252;0,15274;0,019641176;0,010947368;0,0008;2,302204929;10,59701493;1,394526647;10,84456424;19,45673077;266,25;7,599004975;1,650886295;7,776519916;13,95221154;190,925;0,977172959;0,212291142;1,794145928;24,55147059;0,217250324;1,836057692;25,125;115,65;115,65;0,073076923;G
