Al;Co;Cr;Cu;Fe;Mg;Mn;Na;Ni;NiDailyExtraction
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.6;2;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;6.8;3;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;6.8;3;0.34%
0.08;0.0008;0.0008;0.0008;0.08;0.7;1;6.8;1;0.32%
0.08;0.0008;0.0008;0.0008;0.08;0.7;1;6.8;1;0.32%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;6.7;1;0.32%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;6.7;1;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;6.7;1;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;7.3;1;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;7.3;1;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;0.0008;0.27%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;0.0008;0.27%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.6;2;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.6;2;0.25%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;6.3;1;0.24%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;6.3;1;0.24%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;6.7;1;0.23%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;6.7;1;0.23%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;6.7;1;0.21%
0;0;0;0;0;0;0;0;0;0.08%
0;0;0;0;0;0;0;0;0;0.02%
0;0;0;0;0;0;0;0;0;0.01%
0;0;0;0;0;0;0;0;0;0.01%
0;0;0;0;0;0;0;0;0;0.01%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.3;2;0.01%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.3;2;0.12%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.3;2;0.12%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.05;2;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.05;1;0.09%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.05;1;0.13%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.13%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.13%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.13%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.13%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.06%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.03%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.6;0.0008;0.02%
0.4;0.0055;0.1705;3;14.2;2.65;0.0445;0;0.4545;0.00%
0.4;0.0055;0.1705;3;14.2;2.65;0.0445;0;0.4545;0.00%
0.4;0.0055;0.1705;3;14.2;2.65;0.0445;0;0.4545;0.93%
